"movieId","title","Action","Adventure","Animation","Children","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western","movie_views","movie_rating","score"
1,"Toy Story (1995)",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,232,3.9073275862069,3.5272373540856
2,"Jumanji (1995)",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92,3.35326086956522,2.63675213675214
3,"Grumpier Old Men (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,58,3.18965517241379,2.2289156626506
4,"Waiting to Exhale (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,11,2.81818181818182,2.31609195402299
5,"Father of the Bride Part II (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3.25,3.34642857142857
6,"Heat (1995)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,115,4.07391304347826,2.325
7,"Sabrina (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,55,3.38181818181818,3.0375
8,"Tom and Huck (1995)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.66666666666667,2.88181818181818
9,"Sudden Death (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.8695652173913,1.73
10,"GoldenEye (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135,3.6,2.91743119266055
11,"American President, The (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,85,3.72941176470588,3.144
12,"Dracula Dead and Loving It (1995)",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20,2.825,2.07327586206897
13,"Balto (1995)",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.4375,2.83458646616541
14,"Nixon (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,3.46,2.14925373134328
15,"Cutthroat Island (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,3.11111111111111,1.74603174603175
16,"Casino (1995)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,84,3.78571428571429,2.92857142857143
17,"Sense and Sensibility (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100,3.93,2.72142857142857
18,"Four Rooms (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.64285714285714,2.02173913043478
19,"Ace Ventura When Nature Calls (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2.64285714285714,3.51508620689655
20,"Money Train (1995)",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,16,3.15625,3.02922077922078
21,"Get Shorty (1995)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,108,3.49074074074074,3.11739130434783
22,"Copycat (1995)",0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,42,3.42857142857143,2.60975609756098
23,"Assassins (1995)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,24,3.14583333333333,1.83974358974359
24,"Powder (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,38,2.89473684210526,1.98360655737705
25,"Leaving Las Vegas (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,87,3.77011494252874,3.66289592760181
26,"Othello (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,3.75,2.14814814814815
27,"Now and Then (1995)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3.2,3.90118577075099
28,"Persuasion (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,14,3.78571428571429,2.13709677419355
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,45,4.23333333333333,2.64583333333333
30,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,3.5,3.03879310344828
31,"Dangerous Minds (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,3.17045454545455,1.16666666666667
32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,207,3.93961352657005,2.46703296703297
33,"Wings of Courage (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.5,1.52941176470588
34,"Babe (1995)",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,129,3.61627906976744,2.51865671641791
